1.011,8131.53,-2638.55,5494.78,652.349,12.609
1.021,8113.34,-2620.37,5494.78,650.89,11.0758
1.031,8096.05,-2603.08,5494.62,649.503,9.26382
1.041,8081.06,-2588.08,5494.35,648.3,7.21817
1.051,8068.69,-2575.72,5494.11,647.308,5.33236
1.061,8058,-2565.03,5494.02,646.45,3.88212
1.071,8047.27,-2554.3,5494.09,645.589,2.33361
1.081,8035.12,-2542.15,5494.28,644.614,1.22196
1.091,8020.97,-2528,5494.46,643.48,1.45897
1.101,8005.33,-2512.35,5494.6,642.225,2.38576
1.111,7988.38,-2495.41,5494.72,640.865,3.25236
1.121,7970.33,-2477.35,5494.82,639.416,4.0362
1.131,7951.49,-2458.51,5494.88,637.905,4.71715
1.141,7932.19,-2439.22,5494.92,636.357,5.27788
1.151,7912.59,-2419.62,5494.95,634.785,5.70422
1.161,7892.56,-2399.58,5495.01,633.178,5.98543
1.171,7871.92,-2378.95,5495.06,631.522,6.11448
1.181,7851.05,-2358.07,5495.05,629.848,6.08817
1.191,7831.04,-2338.06,5494.9,628.242,5.90718
1.201,7812.85,-2319.87,5494.71,626.783,5.57604
1.211,7796.1,-2303.13,5494.62,625.439,5.10303
1.221,7779.7,-2286.72,5494.62,624.123,4.49997
1.231,7763.33,-2270.35,5494.59,622.81,3.78189
1.241,7747.79,-2254.82,5494.46,621.564,2.96667
1.251,7734,-2241.02,5494.27,620.457,2.07459
1.261,7722.15,-2229.18,5494.08,619.507,1.12785
1.271,7711.87,-2218.9,5493.95,618.682,0.169008
1.281,7702.68,-2209.7,5493.86,617.944,0
1.291,7694.19,-2201.21,5493.81,617.263,0
1.301,7685.93,-2192.96,5493.81,616.601,0
1.311,7677.38,-2184.41,5493.86,615.915,0
1.321,7667.98,-2175,5493.97,615.16,0
1.331,7657.23,-2164.25,5494.12,614.298,0
1.341,7644.83,-2151.85,5494.29,613.303,0.140478
1.351,7630.73,-2137.76,5494.46,612.173,0.310042
1.361,7615.22,-2122.24,5494.58,610.928,0.471869
1.371,7598.81,-2105.83,5494.64,609.611,0.621908
1.381,7582.18,-2089.2,5494.63,608.278,0.756404
1.391,7565.95,-2072.97,5494.57,606.976,0.871986
1.401,7550.44,-2057.47,5494.5,605.732,0.965756
1.411,7535.56,-2042.58,5494.45,604.538,1.03536
1.421,7520.83,-2027.85,5494.46,603.356,1.07904
1.431,7505.63,-2012.65,5494.53,602.136,1.09569
1.441,7489.5,-1996.52,5494.64,600.842,1.08489
1.451,7472.36,-1979.38,5494.73,599.467,1.04686
1.461,7454.58,-1961.6,5494.77,598.041,0.982553
1.471,7436.9,-1943.92,5494.72,596.623,0.893541
1.481,7420.24,-1927.26,5494.57,595.286,0.782025
1.491,7405.47,-1912.49,5494.35,594.101,0.650763
1.501,7393.13,-1900.15,5494.1,593.111,0.503009
1.511,7383.23,-1890.25,5493.87,592.317,0.342426
1.521,7375.08,-1882.1,5493.75,591.663,1.34289
1.531,7367.48,-1874.5,5493.74,591.053,2.55731
